"time","http_get_count","http_post_count","http_get_avg_ms","http_get_max_ms","http_post_avg_ms","http_post_max_ms","system_cpu_percent","process_cpu_percent","total_memory_used_mib","total_memory_committed_mib"
2022-05-12 10:34:45,0.0667,624,49.1,61.2,312,1512,90.0,28.9,390,612
2022-05-12 10:35:00,0.0667,630,49.7,61.2,308,1512,88.0,28.3,331,612
2022-05-12 10:35:15,0.0667,638,50.1,61.2,273,1512,87.4,27.6,332,612
2022-05-12 10:35:30,0.0667,603,50.4,61.2,185,1354,70.1,19.7,311,612
2022-05-12 10:35:45,0.0667,501,48.1,61.2,96.9,1354,46.1,10.5,421,612
2022-05-12 10:36:00,0.0667,374,40.2,61.2,14.0,1354,43.8,8.75,452,612
2022-05-12 10:36:15,0.0667,293,32.4,61.2,11.7,1354,42.2,7.92,483,612
2022-05-12 10:36:30,0.0667,280,25.4,61.2,11.5,1256,41.5,8.06,513,612
2022-05-12 10:36:45,0.0667,280,25.2,61.2,11.5,1256,43.1,7.94,541,612
2022-05-12 10:37:00,0.0667,280,27.8,51.7,11.8,1256,50.9,8.59,294,612

