"time","http_get_count","http_post_count","http_get_avg_ms","http_get_max_ms","http_post_avg_ms","http_post_max_ms","system_cpu_percent","process_cpu_percent","total_memory_used_mib","total_memory_committed_mib"
2022-05-12 07:30:00,0.0667,386,37.6,49.4,17.4,769,67.4,15.6,222,394
2022-05-12 07:30:15,0.0667,375,29.3,49.4,18.1,74.7,68.9,16.7,260,394
2022-05-12 07:30:30,0.0667,362,26.1,49.4,19.0,74.7,70.5,15.8,263,394
2022-05-12 07:30:45,0.0667,354,29.0,49.4,19.5,139,67.6,16.6,292,394
2022-05-12 07:31:00,0.0667,352,30.6,49.2,19.6,139,68.1,16.2,315,394
2022-05-12 07:31:15,0.0667,352,27.0,49.2,19.4,150,68.7,16.0,316,394
2022-05-12 07:31:30,0.0667,345,34.1,50.6,19.5,150,68.2,15.2,301,394
2022-05-12 07:31:45,0.0667,348,37.0,50.6,19.3,150,66.5,17.2,169,394
2022-05-12 07:32:00,0.0667,354,40.7,50.6,18.6,150,66.5,17.6,213,395
2022-05-12 07:32:15,0.0667,365,33.6,50.6,18.0,150,66.3,17.1,266,395
2022-05-12 07:32:30,0.0667,367,35.4,50.6,17.7,150,66.1,16.8,318,395
2022-05-12 07:32:45,0.0667,369,30.7,50.6,17.6,150,66.3,16.8,196,395
2022-05-12 07:33:00,0.0667,370,28.4,50.6,17.5,150,66.9,17.2,266,395
2022-05-12 07:33:15,0.0667,371,27.7,50.6,17.5,91.8,65.7,16.6,324,395
2022-05-12 07:33:30,0.0667,373,34.1,50.6,17.7,91.8,68.4,17.1,215,395
2022-05-12 07:33:45,0.0667,367,37.2,50.6,18.5,91.8,68.9,16.5,245,395
2022-05-12 07:34:00,0.0667,363,35.7,43.2,19.1,91.8,68.7,17.0,274,395
2022-05-12 07:34:15,0.0667,361,32.0,43.2,19.5,95.2,67.7,16.4,326,395
2022-05-12 07:34:30,0.0667,369,31.4,43.2,19.7,95.2,69.7,16.9,223,395
2022-05-12 07:34:45,0.0667,372,31.3,43.2,20.0,144,68.4,16.5,276,395
2022-05-12 07:35:00,0.0667,378,32.9,41.2,19.9,144,68.3,17.4,190,395
2022-05-12 07:35:15,0.0667,379,29.9,41.2,19.3,144,66.4,17.0,265,395
2022-05-12 07:35:30,0.0667,385,30.6,41.2,18.8,144,68.4,16.8,181,395
2022-05-12 07:35:45,0.0667,385,34.8,45.1,18.6,144,68.1,16.9,266,395
2022-05-12 07:36:00,0.0667,385,39.0,45.1,18.4,144,67.8,16.7,339,395
2022-05-12 07:36:15,0.0667,379,36.5,45.1,18.2,144,68.7,16.3,225,395
2022-05-12 07:36:30,0.0667,375,31.1,45.1,18.1,144,67.1,16.6,288,395
2022-05-12 07:36:45,0.0667,370,28.4,45.1,18.4,144,67.5,16.2,330,395
2022-05-12 07:37:00,0.0667,373,30.9,45.1,18.3,144,68.2,16.9,231,395
2022-05-12 07:37:15,0.0667,374,36.5,45.9,18.0,65.5,67.2,16.6,293,395
2022-05-12 07:37:30,0.0667,376,43.0,45.9,17.4,65.5,65.7,15.8,179,395
2022-05-12 07:37:45,0.0667,375,43.9,45.9,17.2,65.5,67.0,16.6,248,395
2022-05-12 07:38:00,0.0667,374,35.4,45.9,17.2,65.5,65.9,15.4,307,395
2022-05-12 07:38:15,0.0667,375,28.3,45.9,17.1,61.4,66.3,15.6,200,395
